address,lanes,filename1,filename2
"471.0 N 770  E, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"210.0 S 1St  E, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"114.0 E Center St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"30.0 N 1St  W, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"114.0 W Center St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"108.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"380.0 S 3Rd  W, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"561.0 E Hooper Ave, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"15.0 W Center St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"8.0 N Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"1568.0 Radio Station Rd, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"40.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"2993.0 Conda Rd, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"18.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"16.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"164.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"211.0 N 1St  E, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"159.0 E 2Nd  S, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"12.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"10.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"4.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"6.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"1.0 N Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"19.0 N Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"15.0 N Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"40.0 N 1St  W, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"20.0 N 1St  W, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"10.0 N 1St  W, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"20.0 W Center St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"176.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"180.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"184.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"188.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"189.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"20.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
"30.0 S Main St, Caribou County, ID",,img_000_.jpg,img_000_.jpg
